16894;8.22;Production I.G;Sports;11652;8.12;School;PG-13 - Teens 13 or older;Shounen
17549;7.94;SILVER LINK.;Slice of Life;17552;8.21;CGDCT;PG-13 - Teens 13 or older;Seinen
19647;8.6;Madhouse;Sports;7;8.72;Combat Sports;PG-13 - Teens 13 or older;Shounen
18689;8.11;Production I.G;Sports;10884;8.22;School;PG-13 - Teens 13 or older;Shounen
18179;7.93;TMS Entertainment;Sports;23627;7.99;Racing;PG-13 - Teens 13 or older;Shounen
18001;6.72;A.C.G.T.;Action;5911;7.32;Harem;R+ - Mild Nudity;Seinen
18497;7.46;Tatsunoko Production;Action;2060;7.55;Super Power;PG-13 - Teens 13 or older;Shounen
18441;7.11;Brain's Base;Action;21614;7.57;Delinquents;PG-13 - Teens 13 or older;Seinen
18411;7.16;Diomedéa;Slice of Life;24298;7.09;Mythology;PG-13 - Teens 13 or older;Seinen
19669;7.54;Production I.G;Sports;11652;8.12;School;PG-13 - Teens 13 or older;Shounen
18499;7.46;Tatsunoko Production;Action;2060;7.55;Super Power;PG-13 - Teens 13 or older;Shounen
20473;6.73;MAPPA;Comedy;44949;7.09;School;PG-13 - Teens 13 or older;Shounen
19159;7.15;Production I.G;Comedy;348;8.23;Adult Cast;R - 17+ (violence & profanity);Seinen
21775;5.77;A-1 Pictures;Comedy;62547;8.23;School;PG-13 - Teens 13 or older;Shounen
