1818;7.74;Madhouse;Action;583;8.29;Gore;R+ - Mild Nudity;Shounen
2034;8.03;Toei Animation;Comedy;31;8.33;School;PG-13 - Teens 13 or older;Shoujo
2104;7.67;Gonzo;Comedy;759;7.54;Organized Crime;PG-13 - Teens 13 or older;Shounen
2026;7.51;SynergySP;Action;696;7.86;Harem;PG-13 - Teens 13 or older;Shounen
1690;7.61;Gonzo;Drama;670;8.07;Mecha;R - 17+ (violence & profanity);Seinen
1722;7.22;feel.;Comedy;1086;7.58;Harem;PG-13 - Teens 13 or older;Shounen
2159;7.88;A-1 Pictures;Sports;994;8.17;Team Sports;PG-13 - Teens 13 or older;Seinen
2130;6.98;Madhouse;Action;424;7.48;Vampire;PG-13 - Teens 13 or older;Shounen
2158;7.87;Tokyo Kids;Action;1207;7.69;Military;PG-13 - Teens 13 or older;Shounen
1808;7.2;Satelight;Comedy;35;7.5;Mahou Shoujo;PG-13 - Teens 13 or older;Shoujo
2112;7.53;Xebec;Sports;2720;7.37;Racing;PG-13 - Teens 13 or older;Shounen
2608;7.48;A.C.G.T.;Action;10354;7.49;Racing;PG-13 - Teens 13 or older;Seinen
1914;8.02;Madhouse;Adventure;13495;7.7;Historical;PG-13 - Teens 13 or older;Shoujo
2035;7.81;Ajia-do;Drama;729;8.15;Historical;G - All Ages;Seinen
2143;7.75;Pierrot;Action;510;8.22;Mythology;PG-13 - Teens 13 or older;Shoujo
