16;8;J.C.Staff;Comedy;1009;8.28;Adult Cast;PG-13 - Teens 13 or older;Josei
67;7.54;Gonzo;Action;221;7.47;Adult Cast;R - 17+ (violence & profanity);Seinen
15;7.92;Gallop;Sports;43;8.47;Team Sports;PG-13 - Teens 13 or older;Shounen
479;7.72;Studio Deen;Action;326;7.6;Super Power;PG-13 - Teens 13 or older;Shounen
248;6.63;Madhouse;Comedy;45;7.77;Harem;PG-13 - Teens 13 or older;Shounen
1250;7.25;Xebec;Action;114;7.48;Super Power;PG-13 - Teens 13 or older;Shounen
412;6.52;Gainax;Comedy;1448;6.5;Harem;R+ - Mild Nudity;Shounen
345;7.62;Pierrot;Drama;729;8.15;Historical;G - All Ages;Seinen
738;7.25;SynergySP;Action;134;7.35;Isekai;PG-13 - Teens 13 or older;Shounen
1974;8.05;Tokyo Movie Shinsha;Drama;1469;8.48;Performing Arts;G - All Ages;Shoujo
8687;7.66;Shin-Ei Animation;Comedy;1032;8.44;Anthropomorphic;PG - Children;Kids
