39587;8.36;White Fox;Drama;74697;8.8
40839;7.17;TMS Entertainment;Comedy;108407;6.66
41353;7.07;MAPPA;Action;111996;7.69
40496;7.38;SILVER LINK.;Action;115437;7.62
40956;7.79;David Production;Action;91037;7.69
39547;8.37;feel.;Comedy;40171;8.79
40052;8.25;Wit Studio;Action;127039;7.39
40540;7.46;A-1 Pictures;Action;21479;7.99
41226;7.01;ENGI;Comedy;114417;7.33
40708;6.53;Arvo Animation;Comedy;98532;7.26
40436;5.5;Wolfsbane;Comedy;109840;6.36
40623;5.75;Project No.9;Action;107021;6.4
40529;7.06;Madhouse;Action;90423;7.36
39948;6.89;Studio Deen;Action;1925;7.55
