457;8.66;Artland;Adventure;418;8.72;Adult Cast;PG-13 - Teens 13 or older;Seinen
68;7.33;Gonzo;Action;40;7.8;Super Power;PG-13 - Teens 13 or older;Shounen
322;7.86;Madhouse;Drama;29;8.29;School;R - 17+ (violence & profanity);Josei
469;7.11;J.C.Staff;Comedy;387;7.74;School;PG-13 - Teens 13 or older;Shounen
477;7.68;Hal Film Maker;Fantasy;81;8.63;Iyashikei;G - All Ages;Shounen
658;7.92;Madhouse;Suspense;1218;8.12;Adult Cast;R - 17+ (violence & profanity);Seinen
558;8.19;Studio Hibari;Sports;10978;8.16;Team Sports;PG-13 - Teens 13 or older;Shounen
517;7.71;Studio Comet;Comedy;160;7.98;School;PG-13 - Teens 13 or older;Shounen
1253;7.75;Toei Animation;Action;1045;7.54;Mythology;PG-13 - Teens 13 or older;Shounen
644;7.64;J.C.Staff;Comedy;1009;8.28;Adult Cast;PG-13 - Teens 13 or older;Josei
388;7.83;Studio Comet;Sports;9546;8.16;Racing;PG - Children;Shounen
811;6.83;Pierrot;Comedy;818;7.67;School;R+ - Mild Nudity;Shounen
915;7.21;Studio Deen;Adventure;4010;7.5;Anthropomorphic;PG-13 - Teens 13 or older;Seinen
1983;7.15;Tezuka Productions;Drama;1600;8.36;Medical;PG-13 - Teens 13 or older;Shounen
33876;6.34;Gallop;Comedy;733;7.57;Adult Cast;PG-13 - Teens 13 or older;Shounen
